Tempo,Tensao
11.91,0.0000
11.93,0.0000
11.94,0.0000
11.96,0.0000
11.97,0.0000
11.98,0.0000
12.00,0.0000
12.01,0.0000
12.03,0.0000
12.04,0.0000
12.06,0.0049
12.07,0.0000
12.09,0.0000
12.10,0.0000
12.12,0.0000
12.13,0.0000
12.15,0.0000
12.16,0.0000
12.18,0.0000
12.19,0.0000
12.20,0.0000
12.22,0.0000
12.23,0.0000
12.25,0.0000
12.26,0.0000
12.28,0.0000
12.29,0.0000
12.31,0.0000
12.32,0.0000
12.34,0.0000
12.35,0.0000
12.36,0.0000
12.38,0.0000
12.39,0.0000
12.41,0.0000
12.42,0.0000
12.44,0.0000
12.45,0.0000
12.47,0.0000
12.48,0.0000
12.50,0.0147
12.51,0.0000
12.52,0.0000
12.54,0.0000
12.55,0.0000
12.57,0.0049
12.58,0.0098
12.60,0.0000
12.61,0.0000
12.63,0.0098
12.64,0.0000
12.65,0.0000
12.67,0.0000
12.69,0.0000
12.70,0.0000
12.71,0.0000
12.73,0.0000
12.74,0.0000
12.76,0.0000
12.77,0.0000
12.79,0.0000
12.80,0.0000
12.81,0.0000
12.83,4.8680
12.85,0.0000
12.86,4.9462
12.87,0.0000
12.89,3.4604
12.90,4.9609
12.92,4.9022
12.93,4.8534
12.95,0.0000
12.96,0.0000
12.98,0.0000
12.99,0.0000
13.00,0.0000
13.02,0.0000
13.03,0.0000
13.05,0.0049
13.06,0.0000
13.08,0.0000
13.09,0.0000
13.11,0.0000
13.12,0.0000
13.14,0.0000
13.15,0.0000
13.17,0.0000
13.18,0.0000
13.19,4.9169
13.21,4.7605
13.22,0.0147
13.24,0.0000
13.25,4.9267
13.27,4.9413
13.28,0.0000
13.30,0.0000
13.31,0.0000
13.32,0.0000
13.34,4.9707
13.35,0.0000
13.37,0.0000
13.38,0.0000
13.40,4.9804
13.41,4.7458
13.43,0.0000
13.44,0.0000
13.46,0.0000
13.47,0.0000
13.49,0.0000
13.50,0.0000
13.51,0.0000
13.53,0.0000
13.54,0.0000
13.56,0.0000
13.57,0.0098
13.59,0.0000
13.60,0.0000
13.62,0.0000
13.63,0.0000
13.65,0.0000
13.66,0.0000
13.67,0.0000
13.69,0.0000
13.70,0.0000
13.72,0.0000
13.73,0.0000
13.75,0.0049
13.76,0.0049
13.78,0.0000
13.79,0.0000
13.81,0.0000
13.82,0.0000
13.84,0.0000
13.85,0.0000
13.86,0.0000
13.88,0.0000
13.89,0.0000
13.91,0.0000
13.92,0.0049
13.94,0.0000
13.95,0.0000
13.97,0.0000
13.98,0.0000
14.00,0.0000
14.01,0.0000
14.02,0.0000
14.04,0.0049
14.05,0.0000
14.07,0.0000
14.08,0.0000
14.10,0.0000
14.11,0.0000
14.13,0.0000
14.14,0.0000
14.15,0.0000
14.17,0.0000
14.18,0.0000
14.20,0.0000
14.21,4.8583
14.23,4.9218
14.24,0.0000
14.26,0.0000
14.27,0.0196
14.29,0.0098
14.30,4.9462
14.31,4.8387
14.33,0.0000
14.34,0.0000
14.36,4.9951
14.37,0.0000
14.39,0.0000
14.40,0.0000
14.42,0.0000
14.43,0.0000
14.45,0.0000
14.46,0.0000
14.48,0.0000
14.49,0.0000
14.50,0.0000
14.52,0.0000
14.53,0.0000
14.55,0.0000
14.56,0.0000
14.58,0.0000
14.59,0.0000
14.61,0.0000
14.62,0.0000
14.64,0.0000
14.65,0.0000
14.66,0.0000
14.68,0.0000
14.69,0.0000
14.71,0.0000
14.72,0.0000
14.74,0.0000
14.75,0.0000
14.77,0.0000
14.78,0.0000
14.80,0.0000
14.81,0.0000
14.82,0.0000
14.84,0.0000
14.85,0.0098
14.87,0.0000
14.88,0.0000
14.90,0.0000
14.91,0.0000
14.93,0.0000
14.94,0.0000
14.96,0.0000
14.97,0.0000
14.98,0.0000
15.00,0.0000
15.01,0.0000
15.03,0.0000
15.04,0.0000
15.06,0.0000
15.07,0.0000
15.09,0.0000
15.10,0.0000
15.12,0.0049
15.13,0.0000
15.14,0.0000
15.16,0.0000
15.17,0.0000
15.19,0.0000
15.20,0.0000
15.22,0.0000
15.23,0.0000
15.25,0.0000
15.26,0.0000
15.28,0.0000
15.29,0.0000
15.31,0.0000
15.32,0.0000
15.33,0.0000
15.35,0.0000
15.36,0.0000
15.38,0.0000
15.39,0.0000
15.41,0.0000
15.42,0.0000
15.44,0.0000
15.45,0.0000
15.47,0.0049
15.48,0.0000
15.50,0.0147
15.51,0.0000
15.52,0.0000
15.54,0.0000
15.55,0.0000
15.57,0.0000
15.58,0.0000
15.60,0.0000
15.61,0.0000
15.63,0.0000
15.64,0.0000
15.65,0.0000
15.67,0.0000
15.68,0.0000
15.70,0.0000
15.71,0.0000
15.73,0.0000
15.74,0.0000
15.76,0.0000
15.77,0.0000
15.78,0.0098
15.80,0.0000
15.81,0.0000
15.83,0.0000
